Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes,Type
,,,,,,12.9698,77.75,,,,,,,,,,,,,Person
,,,,,,12.9343,77.6044,,,,,,,,,,,,,Person
,,,,,,12.9698,77.75,,,,,,,,,,,,,Person
,,,,,,12.9635,77.5821,,,,,,,,,,,,,Person
,,,,,,12.977,77.5773,,,,,,,,,,,,,Person
,,,,,,12.9343,77.6044,,,,,,,,,,,,,Person
,,,,,,12.9925,77.5633,,,,,,,,,,,,,Person
,,,,,,13.0206,77.6479,,,,,,,,,,,,,Person
,,,,,,12.985,77.5533,,,,,,,,,,,,,Person
,,,,,,12.9551,77.6593,,,,,,,,,,,,,Person
,,,,,,13.0289,77.54,,,,,,,,,,,,,Person
,,,,,,13.0138,77.5877,,,,,,,,,,,,,Person
,,,,,,12.9261,77.6221,,,,,,,,,,,,,Person
,,,,,,12.9766,77.5993,,,,,,,,,,,,,Person
,,,,,,12.9766,77.5993,,,,,,,,,,,,,Person
,,,,,,12.9766,77.5993,,,,,,,,,,,,,Person
,,,,,,12.9635,77.5821,,,,,,,,,,,,,Person
,,,,,,12.9635,77.5821,,,,,,,,,,,,,Person
,,,,,,12.9635,77.5821,,,,,,,,,,,,,Person
,,,,,,12.9635,77.5821,,,,,,,,,,,,,Person
,,,,,,12.977,77.5773,,,,,,,,,,,,,Person
,,,,,,12.977,77.5773,,,,,,,,,,,,,Person
,,,,,,12.977,77.5773,,,,,,,,,,,,,Person
,,,,,,13.0487,77.5923,,,,,,,,,,,,,Person
,,,,,,13.0019,77.5713,,,,,,,,,,,,,Person
,,,,,,13.0019,77.5713,,,,,,,,,,,,,Person
,,,,,,13.0019,77.5713,,,,,,,,,,,,,Person
,,,,,,13.0019,77.5713,,,,,,,,,,,,,Person
,,,,,,12.9537,77.6176,,,,,,,,,,,,,Person
,,,,,,12.9698,77.75,,,,,,,,,,,,,Person
,,,,,,12.998,77.6227,,,,,,,,,,,,,Person
,,,,,,12.998,77.6227,,,,,,,,,,,,,Person
,,,,,,12.998,77.6227,,,,,,,,,,,,,Person
,,,,,,12.9343,77.6044,,,,,,,,,,,,,Person
,,,,,,13.102,77.5864,,,,,,,,,,,,,Person
,,,,,,13.0158,77.539,,,,,,,,,,,,,Person
,,,,,,12.998,77.6227,,,,,,,,,,,,,Person
,,,,,,12.998,77.6227,,,,,,,,,,,,,Person
,,,,,,13.0138,77.5877,,,,,,,,,,,,,Person
,,,,,,13.0138,77.5877,,,,,,,,,,,,,Person
,,,,,,12.977,77.5773,,,,,,,,,,,,,Person
,,,,,,13.0496,77.4941,,,,,,,,,,,,,Person
,,,,,,12.9783,77.6408,,,,,,,,,,,,,Person
,,,,,,12.9889,77.5741,,,,,,,,,,,,,Person
,,,,,,12.977,77.5773,,,,,,,,,,,,,Person
,,,,,,13.0487,77.5923,,,,,,,,,,,,,Person
,,,,,,12.9579,77.6309,,,,,,,,,,,,,Person
,,,,,,12.9579,77.6309,,,,,,,,,,,,,Person
,,,,,,12.9579,77.6309,,,,,,,,,,,,,Person
,,,,,,13.0487,77.5923,,,,,,,,,,,,,Person
,,,,,,12.985,77.5533,,,,,,,,,,,,,Person
,,,,,,12.985,77.5533,,,,,,,,,,,,,Person
,,,,,,12.985,77.5533,,,,,,,,,,,,,Person
,,,,,,12.9337,77.59,,,,,,,,,,,,,Person
,,,,,,12.9337,77.59,,,,,,,,,,,,,Person
,,,,,,12.9337,77.59,,,,,,,,,,,,,Person
,,,,,,13.0166,77.6804,,,,,,,,,,,,,Person
,,,,,,13.014,77.5658,,,,,,,,,,,,,Person
,,,,,,13.014,77.5658,,,,,,,,,,,,,Person
,,,,,,13.0503,77.5529,,,,,,,,,,,,,Person
,,,,,,13.0503,77.5529,,,,,,,,,,,,,Person
,,,,,,12.9883,77.5987,,,,,,,,,,,,,Person
,,,,,,13.0626,77.5284,,,,,,,,,,,,,Person
,,,,,,13.0626,77.5284,,,,,,,,,,,,,Person
,,,,,,13.0626,77.5284,,,,,,,,,,,,,Person
